source	lang_label_ga	function	phrase_raw	phrase_native	phrase_translit	slots_count_est	needs_manual_normalization
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Eabhrais	evening	שלום Erev tov	שלום Erev tov		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Eabhrais	night	ערב טוב Layla tov	ערב טוב Layla tov		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Eabhrais	hello	לילה טוב	לילה טוב		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Edo	morning	Ób’ówie Ób’ávàn Ób’ótà Òkhíen òwie Kóyo		Ób’ówie Ób’ávàn Ób’ótà Òkhíen òwie Kóyo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Esperanto	morning	Bonan matenon Bonan tagon Bonan vesperon Bonan nokton Saluton		Bonan matenon Bonan tagon Bonan vesperon Bonan nokton Saluton	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Eastóinis	morning	Tere hommikust Tere päevast Tere õhtust Head ööd Tere		Tere hommikust Tere päevast Tere õhtust Head ööd Tere	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Peirsis	morning	Sobh bekheir Salâm / Salâm aleikum Shab bekheir	زبان انگلیسی: Hello, Hi (رسمی), Hey (غیر رسمی), Good Day/Morning/Evening (Good Day.)	Sobh bekheir Salâm / Salâm aleikum Shab bekheir	2	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Fionlainnis	morning	Hyvää huomenta Hyvää päivää Hyvää iltaa Hyvää yötä Hei / Moi / Terve		Hyvää huomenta Hyvää päivää Hyvää iltaa Hyvää yötä Hei / Moi / Terve	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Fraincis	morning	Bonjour Bonjour Bonsoir Bonne nuit Salut		Bonjour Bonjour Bonsoir Bonne nuit Salut	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gréigis	morning	Kalimera		Kalimera	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gréigis	afternoon	Καλιμερα Kalo mesimeri	Καλιμερα Kalo mesimeri		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gréigis	evening	Kalispera		Kalispera	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gréigis	night	Καλισπερα kalinikta	Καλισπερα kalinikta		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gréigis	hello	Yasou		Yasou	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Gearmáinis	morning	Guten Morgen Guten Tag Guten Abend Gute Nacht Hallo	Der Kuss bestätigt eine Zusammengehörigkeit in besonderem Maße Abgeleitet hiervon ist der Wangenkuss bzw. das Aneinanderreiben der Wangen aus der morgenländischen Kultur.	Guten Morgen Guten Tag Guten Abend Gute Nacht Hallo	1	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	morning	(Ioslámach) Subh prabhat		(Ioslámach) Subh prabhat	10	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	afternoon	صباحك جميل Subh din	صباحك جميل Subh din		10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	evening	يومك جميل Subh sandhya	يومك جميل Subh sandhya		10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	night	نهارك جميل Subh ratri	نهارك جميل Subh ratri		10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	hello	تصبح على خير subh din	↑ "The Savvy Business Traveler's Guide to Customs and Practices in Other Countries: The Dos and Don'ts to Impress Your Hosts and Make the Sale," Dan Blacharski, Atlantic Publishing Company, 2008, ISBN 9781601380135		10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	morning	(Hiondúch) ② Namaste / Namaskār		(Hiondúch) ② Namaste / Namaskār	10	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	afternoon	नमस्ते / नमस्कार Namaste / Namaskār	नमस्ते / नमस्कार Namaste	Namaskār	10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	evening	नमस्ते / नमस्कार Namaste / Namaskār	नमस्ते / नमस्कार Namaste	Namaskār	10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	night	नमस्ते / नमस्कार Namaste / Namaskār	नमस्ते / नमस्कार Namaste	Namaskār	10	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Hiondúis	hello	नमस्ते / नमस्कार Namaste / Namaskār	↑ "The Savvy Business Traveler's Guide to Customs and Practices in Other Countries: The Dos and Don'ts to Impress Your Hosts and Make the Sale," Dan Blacharski, Atlantic Publishing Company, 2008, ISBN 9781601380135	Namaskār	10	False
